ID,GBM_1,GBM_2,DP_1,GBM_3,GBM_4,GBM_5,GBM_6,GLM_7,GBM_8,GBM_9,DP_2,GBM_10,GBM_11,DRF_1,XRT_1
12539,0.05758,0.04747,0.06487,0.04798,0.15487,0.04696,0.2719,0.23358,0.06835,0.23769,0.10009,0.2039,0.65519,0.36538,0.06851
4860,0.97896,0.28102,0.97275,1.59733,1.17263,0.02028,199.56347,0.46271,0.05861,4.24303,1.03358,21.73105,4.58487,2.39083,0.38158
11559,0.15665,0.06981,0.11137,0.06464,0.03597,0.10121,0.26864,0.2055,0.02146,0.17807,0.06627,0.19063,2.00283,0.82597,0.13136
9277,0.97896,0.28102,0.97275,1.59733,1.17263,0.02028,199.56347,0.46271,0.05861,4.24303,1.03358,21.73105,4.58487,2.39083,0.38158
10980,0.14439,0.22788,0.08273,0.19264,0.40278,0.15785,0.32058,0.18685,0.07706,0.09834,0.25628,0.09153,0.31442,0.33753,0.05477
11796,0.01745,0.09613,0.00016,0.05202,0.04694,0.15028,0.01476,0.08936,0.30883,1.05358,0.15127,0.73512,3.28191,0.63851,0.00924
9362,0.01514,0.05143,0.03796,0.01583,0.06581,0.00163,0.01652,0.11822,0.07157,0.16452,0.03666,0.10874,0.3004,0.19522,0.04139
13430,0.70531,1.22043,2.20876,1.39371,1.66467,0.41427,0.82697,1.27522,0.9292,0.76204,6.55859,0.76484,0.10482,0.57694,0.10884
18723,1.3176,1.01907,1.47017,1.39563,1.18341,0.81684,2.40555,1.12422,1.66245,2.83357,0.64048,2.49312,2.81775,1.99913,0.87509
14582,0.04388,0.08518,0.10849,0.00398,0.16062,0.02409,0.11205,0.15634,0.02076,0.05626,0.08164,0.26382,0.33107,0.24504,0.17256
16247,0.02225,0.1717,0.12068,0.0961,0.21623,0.09772,0.16628,0.10802,0.12988,0.10582,0.02962,0.18935,0.37466,0.18351,0.00807
14344,0.18455,0.23759,0.12585,0.26838,0.00448,0.06899,0.28176,0.11976,0.55269,0.39968,0.09885,1.14759,0.77485,4.58876,0
9066,0.0086,0.06914,0.16346,0.0285,0.01131,0.01983,0.029,0.16398,0.09248,0.16709,0.08525,0.26012,0.50819,0.76592,0.20633
18712,0.06837,0.30166,0.43864,0.12313,0.01536,0.02871,0.10926,0.11009,0.15498,0.49667,0.03837,0.49809,0.82344,0.33875,0.2699
19230,0.67598,0.1977,0.218,0.68164,0.19309,0.06172,12.59323,0.29355,0.21237,0.08544,0.22431,1.8079,1.92506,3.37732,0.75596
18149,0.02559,0.13171,0.03947,0.11673,0.10198,0.12171,0.09435,0.04514,0.15769,0.11657,0.02516,0.27688,0.35068,0.74936,0.43601
8574,0.01176,0.09788,0.05156,0.03272,0.10645,0.08179,0.05515,0.05374,0.05039,0.05646,0.03549,0.21563,0.10837,0.6362,0.54042
3073,0.33951,0.46243,1.23073,0.62058,0.13899,0.21552,0.66315,1.88446,0.77053,0.52661,0.77915,1.27305,2.37081,2.01687,2.00321
12117,0.24427,0.16772,0.78647,0.35922,0.48474,0.30887,0.63112,0.27099,0.2692,0.27204,2.22616,0.22175,0.48082,0.10316,0.23015
2198,0.23401,0.28525,0.2072,0.02867,0.35175,0.07413,0.35634,0.09102,0.08861,0.23833,0.25226,0.08282,0.09631,2.21824,0.02348
20089,0.00504,0.11262,0.10692,0.00335,0.03754,0.03717,0.04258,0.08502,0.09425,0.23945,0.10906,0.10674,0.03248,0.04497,0.02191
11005,0.08202,0.07676,0.15845,0.12387,0.09751,0.06301,0.276,0.15666,0.16963,0.13696,0.0055,0.29896,1.027,0.58751,0.16734
14660,0.21734,0.28161,0.83202,0.7179,0.69645,0.58879,0.41898,0.15209,0.98166,0.37951,1.08661,0.30445,0.0639,0.8248,0
7479,0.05444,0.04531,0.06092,0.0504,0.18325,0.04486,0.37344,0.18935,0.07336,0.3118,0.11123,0.25612,1.90019,0.57576,0.07355
